"","unid","working","volunteer","leadershiprole","peoplelive","peoplelive_15plus","numchildren","numearnincome","anygrant","anyhhincome","givemoney_yes","cft_score","com_score","grit_score","num_score","opt_score","age","gender_male"
"1",41964,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,4,4,4,NA,NA,26,0
"2",15241,TRUE,0,0,2,NA,3,1,1,1,0,4,5,3,NA,7,27,0
"3",33702,TRUE,1,0,4,NA,1,1,0,1,0,5,5,2,NA,3,25,1
"4",101252,TRUE,1,1,7,5,0,NA,1,1,0,10,NA,0,NA,4,19,0
"5",83023,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,4,NA,NA,20,1
"6",80756,FALSE,0,0,1,1,1,NA,0,0,0,4,NA,0,NA,6,21,0
"7",85374,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,22,0
"8",68158,FALSE,0,1,3,NA,0,1,0,1,1,7,8,4,6,4,21,1
"9",59944,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,25,1
"10",68536,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,6,6,2,3,NA,24,1
"11",17380,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,29,1
"12",33247,TRUE,0,0,2,NA,1,1,0,1,0,7,NA,6,NA,4,25,1
"13",49786,FALSE,0,0,4,3,0,NA,0,1,0,NA,NA,NA,NA,NA,25,0
"14",16962,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0
"15",98435,FALSE,1,1,4,0,0,NA,1,1,0,NA,NA,NA,NA,NA,20,1
"16",31785,TRUE,0,0,7,NA,0,1,1,1,0,3,NA,5,NA,0,25,0
"17",50166,TRUE,1,1,3,3,0,NA,0,1,1,9,NA,8,NA,7,24,1
"18",85832,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,7,NA,8,NA,NA,22,0
"19",98602,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,20,0
